Disease_1,Disease_2,is_a,Resemble,Source
DOID:0050046,DOID:11104,1,0,DO
DOID:0050047,DOID:11104,1,0,DO
DOID:0050050,DOID:11104,1,0,DO
DOID:0050051,DOID:11104,1,0,DO
DOID:0050052,DOID:11104,1,0,DO
DOID:0050059,DOID:13386,1,0,DO
DOID:13386,DOID:7427,1,0,DO
DOID:0050061,DOID:0050338,1,0,DO
DOID:0050338,DOID:104,1,0,DO
DOID:0050072,DOID:0050292,1,0,DO
DOID:0050292,DOID:0050136,1,0,DO
DOID:0050073,DOID:13564,1,0,DO
DOID:13564,DOID:2473,1,0,DO
DOID:0050083,DOID:5113,1,0,DO
DOID:5113,DOID:374,1,0,DO
DOID:0050096,DOID:8913,1,0,DO
DOID:8913,DOID:0050134,1,0,DO
DOID:0050097,DOID:4337,1,0,DO
DOID:4337,DOID:8913,1,0,DO
DOID:0050105,DOID:4337,1,0,DO
DOID:0050116,DOID:12179,1,0,DO
DOID:12179,DOID:8913,1,0,DO
DOID:0050117,DOID:4,1,0,DO
DOID:0050118,DOID:934,1,0,DO
DOID:0050120,DOID:75,1,0,DO
DOID:75,DOID:2914,1,0,DO
DOID:0050125,DOID:12205,1,0,DO
DOID:12205,DOID:934,1,0,DO
DOID:0050127,DOID:1352,1,0,DO
DOID:1352,DOID:2825,1,0,DO
DOID:0050129,DOID:13250,1,0,DO
DOID:13250,DOID:77,1,0,DO
DOID:0050130,DOID:13250,1,0,DO
DOID:0050131,DOID:13250,1,0,DO
DOID:0050132,DOID:13250,1,0,DO
DOID:0050133,DOID:1564,1,0,DO
DOID:1564,DOID:0050117,1,0,DO
DOID:0050134,DOID:1564,1,0,DO
DOID:0050135,DOID:1564,1,0,DO
DOID:0050136,DOID:1564,1,0,DO
DOID:0050138,DOID:4976,1,0,DO
DOID:4976,DOID:4977,1,0,DO
DOID:0050140,DOID:13250,1,0,DO
DOID:0050141,DOID:11976,1,0,DO
DOID:11976,DOID:0050338,1,0,DO
DOID:0050143,DOID:12205,1,0,DO
DOID:0050144,DOID:9562,1,0,DO
DOID:9562,DOID:0060340,1,0,DO
DOID:0050145,DOID:974,1,0,DO
DOID:974,DOID:1579,1,0,DO
DOID:0050147,DOID:9463,1,0,DO
DOID:9463,DOID:379,1,0,DO
DOID:0050148,DOID:974,1,0,DO
DOID:0050150,DOID:10458,1,0,DO
DOID:10458,DOID:0050338,1,0,DO
DOID:0050152,DOID:874,1,0,DO
DOID:0050153,DOID:13564,1,0,DO
DOID:0050155,DOID:863,1,0,DO
DOID:863,DOID:7,1,0,DO
DOID:0050156,DOID:3770,1,0,DO
DOID:3770,DOID:3082,1,0,DO
DOID:0050157,DOID:2797,1,0,DO
DOID:2797,DOID:552,1,0,DO
DOID:0050158,DOID:2797,1,0,DO
DOID:0050159,DOID:2797,1,0,DO
DOID:0050160,DOID:7427,1,0,DO
DOID:7427,DOID:0050338,1,0,DO
DOID:0050161,DOID:1579,1,0,DO
DOID:1579,DOID:7,1,0,DO
DOID:0050166,DOID:2149,1,0,DO
DOID:2149,DOID:0050598,1,0,DO
DOID:0050167,DOID:14040,1,0,DO
DOID:14040,DOID:0060005,1,0,DO
DOID:0050168,DOID:14040,1,0,DO
DOID:0050169,DOID:8857,1,0,DO
DOID:0050174,DOID:2365,1,0,DO
DOID:2365,DOID:934,1,0,DO
DOID:0050175,DOID:934,1,0,DO
DOID:0050177,DOID:630,1,0,DO
DOID:630,DOID:4,1,0,DO
DOID:0050179,DOID:0050175,1,0,DO
DOID:0050185,DOID:37,1,0,DO
DOID:37,DOID:16,1,0,DO
DOID:0050192,DOID:934,1,0,DO
DOID:0050194,DOID:934,1,0,DO
DOID:0050195,DOID:934,1,0,DO
DOID:0050196,DOID:934,1,0,DO
DOID:0050197,DOID:934,1,0,DO
DOID:0050198,DOID:934,1,0,DO
DOID:0050199,DOID:934,1,0,DO
DOID:0050200,DOID:11266,1,0,DO
DOID:11266,DOID:934,1,0,DO
DOID:0050201,DOID:11266,1,0,DO
DOID:0050202,DOID:934,1,0,DO
DOID:0050204,DOID:1884,1,0,DO
DOID:1884,DOID:2237,1,0,DO
DOID:0050211,DOID:8469,1,0,DO
DOID:8469,DOID:934,1,0,DO
DOID:0050214,DOID:439,1,0,DO
DOID:439,DOID:440,1,0,DO
DOID:0050218,DOID:1496,1,0,DO
DOID:1496,DOID:883,1,0,DO
DOID:0050222,DOID:11702,1,0,DO
DOID:11702,DOID:6025,1,0,DO
DOID:0050242,DOID:2789,1,0,DO
DOID:2789,DOID:1398,1,0,DO
DOID:0050246,DOID:2789,1,0,DO
DOID:0050250,DOID:883,1,0,DO
DOID:883,DOID:1398,1,0,DO
DOID:0050251,DOID:883,1,0,DO
DOID:0050253,DOID:883,1,0,DO
DOID:0050254,DOID:883,1,0,DO
DOID:0050256,DOID:883,1,0,DO
DOID:0050259,DOID:883,1,0,DO
DOID:0050260,DOID:883,1,0,DO
DOID:0050261,DOID:883,1,0,DO
DOID:0050266,DOID:4110,1,0,DO
DOID:4110,DOID:1398,1,0,DO
DOID:0050268,DOID:11080,1,0,DO
DOID:11080,DOID:4110,1,0,DO
DOID:0050269,DOID:1947,1,0,DO
DOID:1947,DOID:2789,1,0,DO
DOID:0050270,DOID:1947,1,0,DO
DOID:0050278,DOID:0050135,1,0,DO
DOID:0050279,DOID:0050135,1,0,DO
DOID:0050288,DOID:2473,1,0,DO
DOID:2473,DOID:0050136,1,0,DO
DOID:0050289,DOID:2473,1,0,DO
DOID:0050290,DOID:2473,1,0,DO
DOID:0050291,DOID:1398,1,0,DO
DOID:1398,DOID:0050117,1,0,DO
DOID:0050304,DOID:9835,1,0,DO
DOID:9835,DOID:5614,1,0,DO
DOID:0050308,DOID:11320,1,0,DO
DOID:11320,DOID:934,1,0,DO
DOID:0050328,DOID:1459,1,0,DO
DOID:1459,DOID:50,1,0,DO
DOID:0050331,DOID:225,1,0,DO
DOID:225,DOID:4,1,0,DO
DOID:0050332,DOID:3426,1,0,DO
DOID:3426,DOID:2952,1,0,DO
DOID:0050335,DOID:5679,1,0,DO
DOID:5679,DOID:5614,1,0,DO
DOID:0050336,DOID:2485,1,0,DO
DOID:2485,DOID:0050032,1,0,DO
DOID:0050339,DOID:104,1,0,DO
DOID:0050340,DOID:104,1,0,DO
DOID:0050352,DOID:11976,1,0,DO
DOID:0050353,DOID:11976,1,0,DO
DOID:0050354,DOID:11976,1,0,DO
DOID:0050382,DOID:2123,1,0,DO
DOID:2123,DOID:0050338,1,0,DO
DOID:0050383,DOID:2123,1,0,DO
DOID:0050387,DOID:4455,1,0,DO
DOID:4455,DOID:4450,1,0,DO
DOID:0050398,DOID:11102,1,0,DO
DOID:11102,DOID:0050338,1,0,DO
DOID:0050419,DOID:626,1,0,DO
DOID:626,DOID:612,1,0,DO
DOID:0050424,DOID:5295,1,0,DO
DOID:5295,DOID:77,1,0,DO
DOID:0050425,DOID:331,1,0,DO
DOID:331,DOID:863,1,0,DO
